HOME%0,AWAY%1,GAME
0,0,505
0,1,1203
0,10,144
0,11,125
0,12,62
0,13,43
0,14,36
0,15,18
0,16,9
0,17,7
0,18,3
0,19,4
0,2,1272
0,20,1
0,21,1
0,22,2
0,3,1218
0,4,1014
0,5,802
0,6,630
0,7,476
0,8,359
0,9,222
1,0,1268
1,1,1407
1,10,273
1,11,176
1,12,102
1,13,68
1,14,43
1,15,26
1,16,11
1,17,14
1,18,5
1,19,7
1,2,2646
1,20,1
1,22,3
1,3,2129
1,4,1833
1,5,1462
1,6,1084
1,7,840
1,8,597
1,9,380
10,0,211
10,1,325
10,10,73
10,11,86
10,12,58
10,13,29
10,14,23
10,15,14
10,16,9
10,17,4
10,18,4
10,19,2
10,2,380
10,20,2
10,23,2
10,3,406
10,4,378
10,5,324
10,6,265
10,7,198
10,8,177
10,9,100
11,0,113
11,1,204
11,10,50
11,11,49
11,12,40
11,13,34
11,14,15
11,15,12
11,16,6
11,17,3
11,18,2
11,19,3
11,2,291
11,20,2
11,21,1
11,22,1
11,24,1
11,3,298
11,4,239
11,5,225
11,6,206
11,7,153
11,8,94
11,9,82
12,0,75
12,1,121
12,10,38
12,11,24
12,12,20
12,13,18
12,14,12
12,15,6
12,16,1
12,17,1
12,18,1
12,19,1
12,2,181
12,20,1
12,24,1
12,3,183
12,4,191
12,5,162
12,6,125
12,7,99
12,8,74
12,9,57
13,0,48
13,1,96
13,10,26
13,11,14
13,12,14
13,13,8
13,14,7
13,15,5
13,16,5
13,17,2
13,19,1
13,2,110
13,22,1
13,3,137
13,4,126
13,5,107
13,6,78
13,7,49
13,8,41
13,9,26
14,0,31
14,1,46
14,10,14
14,11,7
14,12,7
14,13,3
14,14,3
14,15,3
14,16,3
14,17,1
14,2,72
14,20,1
14,22,1
14,3,63
14,4,70
14,5,61
14,6,52
14,7,38
14,8,28
14,9,15
15,0,11
15,1,26
15,10,9
15,11,7
15,12,6
15,14,2
15,15,4
15,16,1
15,17,1
15,19,1
15,2,37
15,3,51
15,4,38
15,5,39
15,6,27
15,7,38
15,8,22
15,9,12
16,0,14
16,1,19
16,10,6
16,11,3
16,12,3
16,13,1
16,14,1
16,16,1
16,17,2
16,18,1
16,2,9
16,3,31
16,4,29
16,5,30
16,6,22
16,7,16
16,8,13
16,9,3
17,0,3
17,1,8
17,10,3
17,11,4
17,12,1
17,13,4
17,14,1
17,17,1
17,19,1
17,2,18
17,3,23
17,4,13
17,5,10
17,6,17
17,7,12
17,8,11
17,9,5
18,0,4
18,1,6
18,10,3
18,11,2
18,14,1
18,2,9
18,3,13
18,4,8
18,5,5
18,6,7
18,7,5
18,8,3
18,9,6
19,0,3
19,1,4
19,10,2
19,11,1
19,12,1
19,17,1
19,2,6
19,3,4
19,4,1
19,5,2
19,6,5
19,7,5
19,8,6
2,0,1417
2,1,2305
2,10,365
2,11,208
2,12,165
2,13,93
2,14,76
2,15,42
2,16,25
2,17,12
2,18,13
2,19,6
2,2,2035
2,20,2
2,21,1
2,22,1
2,23,1
2,24,1
2,3,3300
2,4,2497
2,5,1914
2,6,1460
2,7,1105
2,8,746
2,9,566
20,1,3
20,10,2
20,11,3
20,2,4
20,3,4
20,4,6
20,5,2
20,6,3
20,7,4
20,8,1
20,9,2
21,1,2
21,12,1
21,2,5
21,4,2
21,6,1
21,7,1
21,8,1
22,1,1
22,2,1
22,23,1
22,4,1
22,6,1
22,7,1
22,8,1
22,9,1
23,1,1
23,13,1
23,2,3
23,3,1
23,4,1
23,6,3
24,10,1
24,4,1
25,8,1
26,23,1
26,7,2
26,8,1
29,4,1
3,0,1402
3,1,2335
3,10,408
3,11,305
3,12,183
3,13,114
3,14,77
3,15,49
3,16,17
3,17,19
3,18,6
3,19,11
3,2,2664
3,21,3
3,22,1
3,26,1
3,3,2174
3,30,1
3,4,3129
3,5,2275
3,6,1698
3,7,1275
3,8,869
3,9,610
4,0,1216
4,1,1992
4,10,416
4,11,264
4,12,175
4,13,119
4,14,76
4,15,43
4,16,37
4,17,15
4,18,10
4,19,4
4,2,2383
4,20,1
4,21,1
4,22,2
4,3,2446
4,4,1801
4,5,2433
4,6,1684
4,7,1211
4,8,867
4,9,578
5,0,1009
5,1,1655
5,10,360
5,11,233
5,12,172
5,13,100
5,14,71
5,15,39
5,16,23
5,17,13
5,18,11
5,19,5
5,2,2097
5,20,1
5,23,1
5,24,1
5,26,1
5,3,2045
5,4,1870
5,5,1391
5,6,1730
5,7,1157
5,8,766
5,9,590
6,0,784
6,1,1349
6,10,324
6,11,233
6,12,135
6,13,91
6,14,55
6,15,35
6,16,20
6,17,8
6,18,9
6,19,6
6,2,1577
6,20,7
6,21,1
6,29,1
6,3,1595
6,4,1475
6,5,1168
6,6,904
6,7,1117
6,8,703
6,9,510
7,0,570
7,1,948
7,10,270
7,11,184
7,12,118
7,13,57
7,14,53
7,15,24
7,16,18
7,17,7
7,18,8
7,19,6
7,2,1137
7,20,2
7,21,3
7,22,1
7,26,1
7,3,1272
7,4,1099
7,5,952
7,6,718
7,7,559
7,8,634
7,9,416
8,0,412
8,1,609
8,10,241
8,11,143
8,12,94
8,13,47
8,14,40
8,15,16
8,16,11
8,17,7
8,18,6
8,19,6
8,2,795
8,20,1
8,21,1
8,23,1
8,3,897
8,4,807
8,5,638
8,6,528
8,7,395
8,8,294
8,9,352
9,0,267
9,1,481
9,10,193
9,11,111
9,12,70
9,13,46
9,14,24
9,15,25
9,16,18
9,17,4
9,18,5
9,19,2
9,2,560
9,21,3
9,23,1
9,3,621
9,4,534
9,5,503
9,6,361
9,7,273
9,8,185
9,9,165
